[Wed Feb 15 16:12:21.898 2012] 0.029 sec [all/2/rel 1 (0,20)] [topic_core] read
[Wed Feb 15 16:12:37.326 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] is
[Wed Feb 15 18:09:15.697 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] the
[Wed Feb 15 18:09:15.706 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] the
[Wed Feb 15 18:09:49.140 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] the
[Wed Feb 15 18:09:49.149 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] the
[Wed Feb 15 18:10:50.524 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] the
[Wed Feb 15 18:10:50.533 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] the
[Wed Feb 15 18:11:09.633 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] the
[Wed Feb 15 18:11:09.644 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] the
[Wed Feb 15 18:11:30.338 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] the
[Wed Feb 15 18:11:30.345 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] the
[Wed Feb 15 18:40:47.912 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] is
[Wed Feb 15 18:40:47.930 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] is
[Wed Feb 15 18:40:47.953 2012] 0.011 sec [all/2/rel 1 (0,20)] [question_core] is
[Wed Feb 15 18:54:31.049 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] is
[Wed Feb 15 18:54:31.058 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] is
[Wed Feb 15 18:54:31.068 2012] 0.000 sec [all/2/rel 1 (0,20)] [question_core] is
[Wed Feb 15 18:55:02.561 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] is
[Wed Feb 15 18:55:02.569 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] is
[Wed Feb 15 18:55:02.579 2012] 0.000 sec [all/2/rel 1 (0,20)] [question_core] is
[Wed Feb 15 18:55:48.326 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] is
[Wed Feb 15 18:55:48.334 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] is
[Wed Feb 15 18:55:48.348 2012] 0.000 sec [all/2/rel 1 (0,20)] [question_core] is
[Wed Feb 15 18:57:55.812 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] this
[Wed Feb 15 18:57:55.823 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] this
[Wed Feb 15 18:57:55.828 2012] 0.000 sec [all/2/rel 1 (0,20)] [question_core] this
[Wed Feb 15 18:58:03.009 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] the
[Wed Feb 15 18:58:03.017 2012] 0.000 sec [all/2/rel 1 (0,20)] [sub_topic_core] the
[Wed Feb 15 18:58:03.027 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] the
[Wed Feb 15 18:58:13.414 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] thisssssss
[Wed Feb 15 18:58:13.417 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] thisssssss
[Wed Feb 15 18:58:13.420 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] thisssssss
[Wed Feb 15 18:58:17.584 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] this
[Wed Feb 15 18:58:17.592 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] this
[Wed Feb 15 18:58:17.596 2012] 0.000 sec [all/2/rel 1 (0,20)] [question_core] this
[Thu Feb 16 10:34:38.404 2012] 0.028 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 10:34:38.423 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 10:34:38.426 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 10:34:39.748 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 10:34:39.752 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 10:34:39.755 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 10:34:40.788 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 10:34:40.792 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 10:34:40.795 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
